year,sample_type
2016,animal
2019,animal
2019,animal
2019,animal
2019,animal
2019,animal
2019,animal
2020,animal
2016,animal
2018,animal
2018,animal
2018,animal
2021,animal
2020,animal
2020,animal
2020,animal
2020,animal
2020,animal
2020,animal
2020,animal
2020,animal
2020,animal
2020,animal
2020,animal
2020,animal
2020,animal
2020,animal
2020,animal
2020,animal
2020,animal
2020,animal
2021,animal
2021,animal
2021,animal
2021,animal
2021,animal
2021,animal
2019,animal
2019,animal
2019,animal
2019,animal
2019,animal
2019,animal
2019,animal
2015,animal
2015,animal
2015,animal
2015,animal
2016,animal
2015,animal
2015,animal
2015,animal
2020,animal
2020,animal
2020,animal
2019,animal
2019,animal
2015,clinical/human
2018,clinical/human
2019,clinical/human
2016,clinical/human
2019,clinical/human
2019,clinical/human
2022,clinical/human
2021,clinical/human
2020,clinical/human
2017,clinical/human
2019,clinical/human
2016,clinical/human
2015,clinical/human
2017,clinical/human
2019,clinical/human
2019,clinical/human
2017,clinical/human
2016,clinical/human
2018,clinical/human
2020,clinical/human
2017,clinical/human
2020,clinical/human
2020,clinical/human
2019,clinical/human
2019,clinical/human
2017,clinical/human
2017,clinical/human
2021,clinical/human
2020,clinical/human
2019,clinical/human
2019,clinical/human
2016,clinical/human
2016,clinical/human
2016,clinical/human
2016,clinical/human
2016,clinical/human
2016,clinical/human
2016,clinical/human
2016,clinical/human
2016,clinical/human
2016,clinical/human
2016,clinical/human
2016,clinical/human
2016,clinical/human
2016,clinical/human
2016,clinical/human
2016,clinical/human
2016,clinical/human
2016,clinical/human
2016,clinical/human
2016,clinical/human
2016,clinical/human
2016,clinical/human
2019,clinical/human
2018,clinical/human
2019,clinical/human
2020,clinical/human
2018,clinical/human
2018,clinical/human
2021,clinical/human
2020,environment
2022,environment
2021,environment
2019,environment
2019,environment
2019,environment
2019,environment
2015,environment
2015,environment
2022,NA
2019,NA
2019,NA
2019,NA
2019,NA
2019,NA
2019,NA
2019,NA
2019,NA
2019,NA
2018,NA
2019,NA
2019,NA
2019,NA
2019,NA
2019,NA
2019,NA
2019,NA
2019,NA
2019,NA
2019,NA
2019,NA
2020,NA
