ST,plasmid
other,yes
other,no
other,no
16,no
16,no
16,no
16,no
16,no
16,no
16,no
16,no
16,no
16,yes
16,yes
16,yes
16,yes
16,yes
16,yes
16,yes
16,yes
16,yes
16,yes
16,yes
16,yes
16,yes
16,yes
16,yes
16,no
16,no
16,no
16,no
16,no
16,no
16,no
16,no
16,no
16,no
16,no
16,no
other,no
other,no
other,no
other,yes
other,no
other,no
other,no
21,no
21,no
21,no
21,no
21,no
21,no
21,yes
21,no
21,no
21,no
21,no
21,no
21,no
21,no
21,no
21,no
21,no
21,no
21,no
other,no
other,no
other,no
other,no
other,no
other,no
other,yes
other,no
other,yes
other,no
other,no
other,no
other,no
other,no
other,no
other,yes
other,no
other,yes
other,yes
other,yes
other,yes
other,yes
other,yes
other,no
other,no
other,yes
other,yes
other,yes
other,no
other,yes
other,yes
other,yes
other,no
other,no
other,no
other,no
other,no
other,no
other,yes
other,no
other,no
other,no
other,yes
other,yes
other,yes
other,no
other,no
other,yes
other,yes
other,no
other,no
other,no
other,yes
other,yes
other,no
other,no
other,no
other,yes
other,no
other,yes
other,no
other,no
other,yes
other,no
other,yes
other,no
other,yes
other,yes
other,no
other,no
other,no
other,no
other,no
other,no
other,yes
other,yes
other,yes
other,yes
other,yes
other,no
other,no
other,no
other,yes
other,no
other,yes
other,yes
other,yes
other,no
other,yes
other,no
other,no
other,no
other,yes
other,yes
other,no
other,no
other,no
other,no
other,no
other,yes
other,no
other,no
other,no
other,no
other,no
other,no
476,no
476,no
476,yes
476,yes
476,yes
476,yes
476,no
476,no
476,no
476,no
476,no
476,no
476,no
476,no
476,no
476,no
476,no
476,no
476,no
476,no
476,no
476,no
476,no
476,no
476,no
476,no
476,no
476,no
476,no
476,no
476,no
476,no
476,no
other,no
480,no
480,no
480,no
480,no
480,no
480,no
480,no
480,no
480,no
480,no
480,no
480,no
480,no
480,yes
480,yes
480,yes
480,yes
480,yes
480,yes
480,no
480,no
480,no
480,no
480,no
480,no
480,no
480,no
480,no
480,no
480,no
other,no
other,yes
other,yes
other,no
other,no
other,no
other,yes
other,yes
other,yes
other,yes
other,no
585,no
585,no
585,no
585,no
585,no
585,yes
585,yes
585,yes
585,no
585,no
585,no
585,no
585,no
585,no
other,no
other,no
other,no
other,no
other,no
other,no
other,no
other,no
other,no
other,no
other,no
other,no
other,no
other,no
other,no
other,yes
other,yes
other,yes
other,yes
other,yes
other,yes
other,yes
other,yes
other,no
other,yes
other,yes
other,no
other,yes
other,yes
other,no
other,no
other,no
other,yes
other,yes
other,no
other,no
other,no
other,no
other,no
other,no
other,yes
other,yes
other,no
other,no
other,yes
other,yes
other,yes
other,yes
other,no
other,yes
other,yes
other,yes
other,no
other,yes
other,yes
other,yes
other,no
other,no
other,no
other,no
other,no
other,no
other,no
other,no
other,no
other,yes
other,yes
other,yes
other,yes
other,yes
other,yes
other,yes
other,yes
other,yes
other,yes
other,yes
other,yes
other,yes
other,yes
other,yes
other,yes
other,yes
other,yes
other,yes
other,yes
other,yes
other,yes
other,yes
other,yes
other,yes
other,yes
other,yes
other,yes
other,yes
other,yes
other,yes
other,yes
other,yes
other,no
other,no
other,no
other,no
other,no
other,no
other,no
other,no
other,no
other,no
other,no
other,no
other,no
other,no
other,no
other,no
other,no
other,no
other,no
other,no
other,no
other,no
other,no
other,no
other,no
other,no
other,no
other,no
other,no
other,no
other,no
other,no
other,no
other,no
other,no
other,no
other,no
other,no
other,no
other,no
other,no
other,no
other,no
other,no
other,no
other,no
other,no
other,no
other,no
other,no
other,no
other,no
other,no
other,no
other,no
other,no
other,no
other,no
