Accession,country,species
GCA_023299225.1,,efaecalis
GCA_023299425.1,,efaecalis
GCA_023299465.1,,efaecalis
GCA_023299485.1,,efaecalis
GCA_023299505.1,,efaecalis
GCA_023299525.1,,efaecalis
GCA_023299545.1,,efaecalis
GCA_023299585.1,,efaecalis
GCA_023299645.1,,efaecalis
GCA_023299685.1,,efaecalis
GCA_023299705.1,,efaecalis
GCA_023299785.1,,efaecalis
GCA_023300025.1,,efaecalis
GCA_023375245.1,,efaecalis
GCA_028200655.1,,efaecalis
GCA_028200665.1,,efaecalis
GCA_028200685.1,,efaecalis
GCA_028200755.1,,efaecalis
GCA_028335305.1,,efaecalis
GCA_028335345.1,,efaecalis
GCA_028335425.1,,efaecalis
GCA_028335545.1,,efaecalis
GCA_028335705.1,,efaecalis
GCA_025972265.1,Australia,efaecalis
GCF_024927865.1,Bangladesh,efaecalis
GCA_016847365.1,Belgium,efaecalis
GCA_021121195.1,Belgium,efaecalis
GCA_021121215.1,Belgium,efaecalis
GCA_021121265.1,Belgium,efaecalis
GCA_021121415.1,Belgium,efaecalis
GCA_021121465.1,Belgium,efaecalis
GCA_021121495.1,Belgium,efaecalis
GCA_021121565.1,Belgium,efaecalis
GCA_021121725.1,Belgium,efaecalis
GCA_021121905.1,Belgium,efaecalis
GCA_021122025.1,Belgium,efaecalis
GCA_021122105.1,Belgium,efaecalis
GCA_021122365.1,Belgium,efaecalis
GCA_021122485.1,Belgium,efaecalis
GCA_021122555.1,Belgium,efaecalis
GCA_021122665.1,Belgium,efaecalis
GCA_021122745.1,Belgium,efaecalis
GCA_021122845.1,Belgium,efaecalis
GCA_021122865.1,Belgium,efaecalis
GCA_021122885.1,Belgium,efaecalis
GCA_021122905.1,Belgium,efaecalis
GCA_021122925.1,Belgium,efaecalis
GCA_021122965.1,Belgium,efaecalis
GCA_021123045.1,Belgium,efaecalis
GCA_021123105.1,Belgium,efaecalis
GCA_021123115.1,Belgium,efaecalis
GCA_021123325.1,Belgium,efaecalis
GCA_021123365.1,Belgium,efaecalis
GCA_021123425.1,Belgium,efaecalis
GCA_021123435.1,Belgium,efaecalis
GCA_021123445.1,Belgium,efaecalis
GCA_021123485.1,Belgium,efaecalis
GCA_021123565.1,Belgium,efaecalis
GCA_021123775.1,Belgium,efaecalis
GCA_021123845.1,Belgium,efaecalis
GCA_021124025.1,Belgium,efaecalis
GCA_021124125.1,Belgium,efaecalis
GCA_021124225.1,Belgium,efaecalis
GCA_021124235.1,Belgium,efaecalis
GCA_021124285.1,Belgium,efaecalis
GCA_021124385.1,Belgium,efaecalis
GCA_021124405.1,Belgium,efaecalis
GCA_021124485.1,Belgium,efaecalis
GCA_021124585.1,Belgium,efaecalis
GCA_021124605.1,Belgium,efaecalis
SRR13080469,Belgium,efaecalis
SRR13080473,Belgium,efaecalis
SRR21102103,Belgium,efaecalis
SRR21102104,Belgium,efaecalis
SRR21102105,Belgium,efaecalis
SRR21102106,Belgium,efaecalis
SRR21102108,Belgium,efaecalis
SRR21102112,Belgium,efaecalis
SRR21102117,Belgium,efaecalis
SRR21102118,Belgium,efaecalis
SRR21102119,Belgium,efaecalis
SRR21102132,Belgium,efaecalis
GCA_001878735.4,Brazil,efaecalis
GCA_009498155.3,Brazil,efaecalis
GCF_013312295.1,Canada,efaecalis
SRR13712557,Canada,efaecalis
SRR13712587,Canada,efaecalis
SRR13712598,Canada,efaecalis
GCA_009830485.1,China,efaecalis
GCA_009830505.1,China,efaecalis
GCA_009830525.1,China,efaecalis
GCA_009830535.1,China,efaecalis
GCA_009830565.1,China,efaecalis
GCA_009830585.1,China,efaecalis
GCA_009830635.1,China,efaecalis
GCA_009830655.1,China,efaecalis
GCA_009830675.1,China,efaecalis
GCA_009830715.1,China,efaecalis
