Isolate,Chloramphenicol,Tetracycline,Macrolide,Amikacin/Kanamycin,Other antimicrobial,Streptomycin,Lincosamides,Lincosamide/Streptogramin,Other aminoglycoside resistance (non-RMT),Amikacin/Gentamicin/Kanamycin/Tobramycin,Trimethoprim,Vancomycin,Florfenicol/Oxazolidinone,Chloramphenicol/Florfenicol,Lincosamide/Macrolide/Streptogramin,Kanamycin/Tobramycin,Streptogramin,Fosfomycin
NZ_CP136404.1,catA*,"tet(L),tet(M)","erm(B),erm(B)*",aph(3')-IIIa,sat4,"ant(6)-Ia,ant(6)-Ia^",lnu(B),lsa(E),spw,aac(6')-Ie/aph(2'')-Ia,dfrG*,,,,,,,
NZ_CP136350.1,,,,,,,,,,,,,,,,,,
NZ_CP136349.1,,,erm(B),,,,,,,aac(6')-Ie/aph(2'')-Ia*,dfrG,,,,,,,
NZ_CP136348.1,,,,,,,,,,,,,,,,,,
NZ_CP136347.1,,,,,,,,,,,,,,,,,,
NZ_CP136345.1,,,,,,,,,,,,,,,,,,
NZ_CP136344.1,,,erm(B),,,,,,,aac(6')-Ie/aph(2'')-Ia*,dfrG,,,,,,,
NZ_CP136343.1,,,,,,,,,,,,,,,,,,
NZ_CP136342.1,,,,,,,,,,,,,,,,,,
NZ_CP136357.1,,,,,,,,,,,,,,,,,,
NZ_CP136356.1,,,,,,,,,,,,,,,,,,
NZ_CP136355.1,,,,,,,,,,,,,,,,,,
NZ_CP136354.1,,,,,,,,,,,,,,,,,,
NZ_CP136352.1,,,,,,,,,,,,,,,,,,
NZ_CP136359.1,,,,,,,,,,,,,,,,,,
NZ_CP060803.1,,,,,,,,,,,,"vanA,vanR-A,vanS-A,vanX-A,vanY-A*,vanZ-A,vanH-A^",,,,,,
NZ_CP060802.1,,,,,,,,,,aac(6')-Ie/aph(2'')-Ia,dfrC*,,,,,,,
NZ_CP060801.1,,,erm(B),aph(3')-IIIa,,ant(6)-Ia,,,,,,,,,,,,
NZ_CP082233.1,,,poxtA,,,,,,,,,,,,,,,
NZ_CP082232.1,,,erm(B),,sat4^,ant(6)-Ia^,lnu(G),,,,dfrG*,,optrA*,,,,,
NZ_OM574793.1,catA*,"tet(L),tet(M)",erm(B),aph(3')-IIIa,sat4,"ant(6)-Ia,str*,ant(6)-Ia^",lnu(B),lsa(E)*,spw,aac(6')-Ie/aph(2'')-Ia,dfrG*,,,,,,,
NZ_OM574792.1,,,,,,,,,,,,,optrA,fexA*,,,,
NZ_CP040897.1,,,,,,,,,,,,,,,,,,
NZ_CP102069.1,,,,,,,,,,,,,,,,,,
NZ_CP102068.1,,,poxtA2,,,,,,,,,,,fexA*,cfr(D)*,,,
NZ_CP102067.1,,,,,,,,,,,,,,,,,,
NZ_CP102066.1,catA*,"tet(L),tet(M)",erm(B)*,,,,,,,,,,,,,,,
NZ_CP102076.1,,,,,,,,,,,,,,,,,,
NZ_CP102075.1,,,,,,,,,,,,,,,,,,
NZ_CP102074.1,,,,,,,,,,,,,,,,,,
NZ_CP102073.1,,,poxtA2,,,,,,,,,,,fexA*,cfr(D)*,,,
NZ_CP102072.1,,,erm(B)^,,,,,,ant(9)-Ia,,,,optrA*,,,,,
NZ_CP102071.1,,,,,,ant(6)-Ia^,,,,aac(6')-Ie/aph(2'')-Ia,,,,,,,,
NZ_CP065786.1,,,poxtA,,,,,,,,,,,,,,,
NZ_CP065785.1,,,,,,,,,,,,,,,,,,
NZ_CP078163.1,catA*,"tet(L),tet(M)",erm(B),"aph(3')-IIIa,aph(3')-IIIa^",sat4,ant(6)-Ia^,,,,,"dfrG*,dfrG^",,optrA*,fexA*,,,,
NZ_CP078016.1,,,erm(B)*,aph(3')-IIIa,,,,,,,dfrG,,optrA*,fexA*,,,,
NZ_CP046110.1,,,,,,,,,,,,,,,,,,
NZ_CP046109.1,,,,,,,,,,,,,,,,,,
NZ_CP028840.1,,,,,,,,,,,,,,,cfr*,,,
NZ_CP028839.1,,,,,,,,,,,,,,,,,,
NZ_CP028838.1,,,,,,,,,,,,,,,,,,
NZ_CP028837.1,,,,,,,,,,,,,,,,,,
NZ_CP028836.1,catA*,"tet(L),tet(M)",erm(B),aph(3')-IIIa,sat4,ant(6)-Ia,,,,,dfrG*,,,,,,,
NZ_MK993385.1,,,,,,,,,,,,,optrA*,fexA*,,,,
NZ_CP031029.1,,,,,,,,,,aac(6')-Ie/aph(2'')-Ia,,,,,,,,
NZ_CP031028.1,,,erm(B),aph(3')-IIIa,sat4,ant(6)-Ia,,,,,,,,,,,,
NC_017315.1,,,,,,,,,,,,,,,,,,
NC_017314.1,,,,,,,,,,,,,,,,,,
NC_017313.1,,,,,,,,,,,,,,,,,,
NZ_CP128463.1,catA,,erm(B),aph(3')-IIIa,sat4,ant(6)-Ia,,,,,,,,,,,,
NZ_CP128462.1,,,,,,,,,,,,,,,,,,
NZ_CP128461.1,,,,,,,,,,,,,,,,,,
NZ_AP027298.1,,,,,,,,,,,,,optrA*,fexA*,,,,
NZ_AP027303.1,catA^,"tet(L),tet(M)",erm(B),,,str,,,,,,,,,,,,
NZ_AP027138.1,,,,,,,,,,,,,,,,,,
NZ_AP027137.1,catA*,"tet(L)*,tet(M)^",erm(B),,,,,,,,dfrG*,,,,,,,
NZ_CP127179.1,,,,,,,,,,,,,,fexA*,,,,
NZ_CP127178.1,catA*,"tet(L),tet(M)",erm(B)*,aph(3')-IIIa,sat4,"ant(6)-Ia,ant(6)-Ia^",lnu(B),lsa(E),spw,aac(6')-Ie/aph(2'')-Ia,dfrG*,,,,,,,
NZ_CP098746.1,,,,,,,,,,,,,,,,,,
NZ_CP098745.1,,,,,,,,,,,,,,,,,,
NZ_CP098744.1,catA*,"tet(L),tet(M)*","erm(B),erm(B)*",aph(3')-IIIa,sat4,ant(6)-Ia,,,,,dfrG*,,optrA*,fexA*,,,,
NZ_CP076497.1,,,,,bleO^,,,,,,,"vanA,vanH-A,vanS-A,vanX-A*,vanY-A,vanZ-A,vanR-A^",,,,aadD1*,,
NZ_CP076496.1,,,,,,,,,,,,,,,,,,
NZ_CP076495.1,,,,,,,,,,,,,,,,,,
NZ_CP076494.1,,,erm(B),aph(3')-IIIa,sat4,ant(6)-Ia,,,,,,,,,,,,
NZ_CP076502.1,,,,,bleO^,,,,,,,"vanA,vanH-A,vanS-A,vanX-A*,vanY-A,vanZ-A,vanR-A^",,,,aadD1*,,
NZ_CP076501.1,,,,,,,,,,,,,,,,,,
NZ_CP076500.1,,,,,,,,,,,,,,,,,,
NZ_CP076499.1,,,erm(B),aph(3')-IIIa,sat4,ant(6)-Ia,,,,,,,,,,,,
NZ_CP076492.1,,,,,bleO^,,,,,,,"vanA,vanH-A,vanS-A,vanX-A*,vanY-A,vanZ-A,vanR-A^",,,,aadD1*,,
NZ_CP076491.1,,,,,,,,,,,,,,,,,,
NZ_CP076490.1,,,,,,,,,,,,,,,,,,
NZ_CP076489.1,,,erm(B),aph(3')-IIIa,sat4,ant(6)-Ia,,,,,,,,,,,,
NZ_CP098029.1,,,poxtA2,,,,,,,,,,,fexA*,cfr(D)*,,,
NZ_CP098028.1,,,erm(B)*,aph(3')-IIIa,,,,,,,dfrG,,,,,,,
NZ_CP098027.1,,"tet(L),tet(M)",,,,str,,,,,,,,,,,,
NZ_CP098026.1,,,,,,,,,,,,,,fexA*,cfr*,,,
NZ_CP124958.1,,,,,,,,,,,,,,,,,,
NZ_CP124951.1,,,,,,,,,,,,,,,,,,
NZ_CP124944.1,,,,,,,,,,,,,,,,,,
NZ_CP124940.1,,,,,,,,,,,,,,,,,,
NZ_CP124954.1,,,,,,,,,,,,,,,,,,
NZ_CP124948.1,,,,,,,,,,,,,,,,,,
NZ_CP124936.1,,,,,,,,,,,,,,,,,,
NZ_CP124926.1,,,,,,,,,,,,,,,,,,
NZ_CP124961.1,,,,,,,,,,,,,,,,,,
NZ_CP124957.1,,,,,,,,,,,,,,,,,,
NZ_CP124933.1,,,,,,,,,,,,,,,,,,
NZ_CP124929.1,,,,,,,,,,,,,,,,,,
NZ_CP124932.1,,,,,,,,,,,,,,,,,,
NZ_CP124945.1,,,,,,,,,,,,,,,,,,
NZ_CP124937.1,,,,,,,,,,,,,,,,,,
NZ_CP109613.1,,,erm(B)*,aph(3')-IIIa,,,,,,,dfrG,,optrA*,fexA*,,,,
