Isolate,Vancomycin,Streptomycin,Macrolide,Chloramphenicol,Amikacin/Gentamicin/Kanamycin/Tobramycin,Florfenicol/Oxazolidinone,Chloramphenicol/Florfenicol,Amikacin/Kanamycin,Other antimicrobial,Tetracycline,Lincosamide/Macrolide/Streptogramin,Lincosamides,Lincosamide/Streptogramin,Other aminoglycoside resistance (non-RMT),Trimethoprim,Fosfomycin,Quinolone,Amikacin/Kanamycin/Tobramycin,Streptogramin
NZ_OR251470.1,"vanA,vanH-A,vanX-A,vanY-A,vanZ-A",,,,,,,,,,,,,,,,,,
NZ_OR234015.1,"vanA,vanX-A,vanY-A,vanZ-A",,,,,,,,,,,,,,,,,,
NZ_OR298096.1,"vanA,vanH-A,vanX-A,vanY-A,vanZ-A",,,,,,,,,,,,,,,,,,
NZ_OR262468.1,"vanA,vanH-A,vanX-A,vanY-A*,vanZ-A",,,,,,,,,,,,,,,,,,
NZ_OR208591.1,"vanA,vanH-A,vanX-A,vanY-A,vanZ-A",,,,,,,,,,,,,,,,,,
NZ_CP060865.1,,,,,,,,,,,,,,,,,,,
NZ_CP060864.1,,,,,,,,,,,,,,,,,,,
NZ_CP060863.1,,,,,,,,,,,,,,,,,,,
NZ_CP060862.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A,vanZ-A",ant(6)-Ia,erm(B),catA,,,,,,,,,,,,,,,
OR251469.1,"vanA,vanH-A,vanX-A,vanY-A,vanZ-A",,,,,,,,,,,,,,,,,,
OR209137.1,,,erm(B),,aac(6')-Ie/aph(2'')-Ia,optrA*,fexA*,,,,,,,,,,,,
NZ_CP043485.1,,,,,,,,,,,,,,,,,,,
NC_014959.1,"vanA*,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A*,vanZ-A",ant(6)-Ia,erm(B),,,,,aph(3')-IIIa,sat4,,,,,,,,,,
NZ_CP044327.1,,,,,,,,,,,,,,,,,,,
NZ_CP044325.1,,,,,,,,,,,,,,,,,,,
NZ_CP044324.1,,,,,,,,,,,,,,,,,,,
NZ_CP044322.1,,,,,,,,,,,,,,,,,,,
NZ_CP044321.1,,,,,,,,,,,,,,,,,,,
NZ_CP044320.1,"vanA*,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A*,vanZ-A",ant(6)-Ia,erm(B),,,,,aph(3')-IIIa,sat4,,,,,,,,,,
NZ_CP044319.1,,,,,,,,,,"tet(L),tet(M)",,,,,,,,,
NZ_CP044318.1,,,erm(B),,,optrA*,,,,,cfr(D),,,,,,,,
NZ_CP044317.1,,,,,aac(6')-Ie/aph(2'')-Ia*,,,,,,,,,,,,,,
NZ_CP059754.1,,,,,,,,,,,,,,,,,,,
NZ_CP059753.1,,,,,,,,,,,,,,,,,,,
NZ_CP059752.1,,,,,,,,,,,,,,,,,,,
NZ_CP059750.1,,,erm(B)*,,,,,aph(3')-IIIa,,,,,,,,,,,
NZ_CP059749.1,"vanA*,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A*,vanZ-A",,,,,,,,,,,,,,,,,,
NZ_CP059748.1,,,,,aac(6')-Ie/aph(2'')-Ia*,,,,,,,,,,,,,,
NZ_CP059746.1,,,,,,,,,,,,,,,,,,,
NZ_CP059744.1,,,,,,,,,,,,,,,,,,,
NZ_CP059743.1,,,erm(B)*,,,,,aph(3')-IIIa,,,,,,,,,,,
NZ_CP059741.1,,,,,,,,,,,,,,,,,,,
NZ_CP059740.1,,,,,aac(6')-Ie/aph(2'')-Ia*,,,,,,,,,,,,,,
NZ_CP059792.1,,,,,,,,,,,,,,,,,,,
NZ_CP059791.1,,,,,,,,,,,,,,,,,,,
NZ_CP059790.1,,,,,,,,,,,,,,,,,,,
NZ_CP059789.1,,,,,,,,,,,,,,,,,,,
NZ_CP059788.1,,,,,,,,,,,,,,,,,,,
NZ_CP059787.1,,,,,,,,,,,,,,,,,,,
NZ_CP059786.1,,ant(6)-Ia,,,,,,aph(3')-IIIa,sat4,tet(S),,,,,,,,,
NZ_CP059785.1,"vanA*,vanH-A,vanR-A,vanS-A*,vanX-A,vanY-A*,vanZ-A",,erm(B),,,optrA*,,,,,cfr(D),,,,,,,,
NZ_CP059771.1,,,,,,,,,,,,,,,,,,,
NZ_CP059770.1,,,,,,,,,,,,,,,,,,,
NZ_CP059769.1,,,,,,,,,,,,,,,,,,,
NZ_CP059768.1,,,,,,,,,,,,,,,,,,,
NZ_CP059767.1,"vanA*,vanH-A*,vanR-A,vanS-A,vanX-A,vanY-A*,vanZ-A",,,,,,,,,,,,,,,,,,
NZ_CP059766.1,,ant(6)-Ia,,,aac(6')-Ie/aph(2'')-Ia*,,,aph(3')-IIIa,sat4,tet(S),,,,,,,,,
NZ_CP059765.1,,ant(6)-Ia,erm(B)*,,aac(6')-Ie/aph(2'')-Ia*,,,aph(3')-IIIa,,tet(L),,,,,,,,,
NZ_CP059815.1,,,,,,,,,,,,,,,,,,,
NZ_CP059814.1,,,,,,,,,,,,,,,,,,,
NZ_CP059813.1,,,,,,,,,,,,,,,,,,,
NZ_CP059812.1,,,,,,,,,,,,,,,,,,,
NZ_CP059811.1,,,,,,,,,,,,,,,,,,,
NZ_CP059808.1,,ant(6)-Ia,,,,,,aph(3')-IIIa,sat4,tet(S),,,,,,,,,
NZ_CP059807.1,"vanA*,vanH-A,vanR-A,vanS-A*,vanX-A,vanY-A*,vanZ-A",,erm(B),,,optrA*,,,,,cfr(D),,,,,,,,
NZ_CP059763.1,,,,,,,,,,,,,,,,,,,
NZ_CP059762.1,,,,,,,,,,,,,,,,,,,
NZ_CP059761.1,,,,,,,,,,,,,,,,,,,
NZ_CP059760.1,,,,,,,,,,,,,,,,,,,
NZ_CP059759.1,,ant(6)-Ia,,,,,,aph(3')-IIIa,sat4^,tet(S),,,,,,,,,
NZ_CP059758.1,,,,,,,,,,,,,,,,,,,
NZ_CP059757.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A*,vanZ-A",,erm(B)^,,,,,,,,,,,,,,,,
