ID,country,continent,year,sample_type,ST,lzd_genotype,mlplasmids_prediction,predicted_optrA_context,Tn6674_variant
DRR126419,Japan,Asia,2017,human/clinical,729,"cfr(B), optrA",Chromosome,fexA-optrA,
DRR400396,Japan,Asia,2021,human/clinical,476,optrA,Chromosome,Tn6674,truncated
GCA_001806515.1,Malaysia,Asia,2012,,754,optrA,Chromosome,,
GCA_001878735.4,Brazil,South America,2013,animal,29,"cfr, optrA",Plasmid,,
GCA_002009465.1,Malaysia,Asia,2021,animal,755,optrA,Chromosome,Tn6674,truncated
GCA_002009545.1,Malaysia,Asia,2021,animal,476,optrA,Chromosome,Tn6674,truncated
GCA_002009565.1,Malaysia,Asia,2021,animal,756,optrA,Chromosome,Tn6674,truncated
GCA_002220885.1,Tunisia,Africa,2014,environment,86,optrA,Chromosome,Tn6674,truncated
GCA_002250145.1,Colombia,South America,2015,animal,16,optrA,Chromosome,,
GCA_004168065.1,Tunisia,Africa,2017,animal,476,optrA,Chromosome,fexA-optrA,
GCA_004168075.1,Tunisia,Africa,2017,animal,859,optrA,Plasmid,fexA-optrA-ermA,
GCA_004168115.1,Tunisia,Africa,2017,animal,21,optrA,Chromosome,Tn6674,
GCA_004332015.1,USA,North America,2013,animal,141,optrA,Plasmid,fexA-optrA,
GCA_004332035.1,USA,North America,2014,animal,489,optrA,Plasmid,fexA-optrA,
GCA_009498155.3,Brazil,South America,2013,animal,591,optrA,Plasmid,Tn6674,
GCA_009498175.3,Colombia,South America,2013,animal,710,optrA,Plasmid,,
GCA_009830485.1,China,Asia,2016,animal,230,optrA,Plasmid,fexA-optrA-ermA,
GCA_009830505.1,China,Asia,2016,animal,480,optrA,Chromosome,,
GCA_009830525.1,China,Asia,2016,environment,910,optrA,Chromosome,fexA-optrA-ermA,
GCA_009830535.1,China,Asia,2016,environment,632,optrA,Chromosome,fexA-optrA-ermA,
GCA_009830565.1,China,Asia,2016,environment,474,optrA,Chromosome,,
GCA_009830585.1,China,Asia,2016,environment,16,optrA,Chromosome,,
GCA_009830635.1,China,Asia,2016,environment,476,optrA,Chromosome,,
GCA_009830655.1,China,Asia,2016,environment,-,optrA,Chromosome,Tn6674,truncated
GCA_009830675.1,China,Asia,2016,animal,476,optrA,Chromosome,,
GCA_009830715.1,China,Asia,2016,animal,170,optrA,Chromosome,fexA-optrA-ermA,
GCA_009830735.1,China,Asia,2016,animal,116,optrA,Chromosome,fexA-optrA-ermA,
GCA_009830765.1,China,Asia,2016,animal,773,optrA,Chromosome,fexA-optrA-ermA,
GCA_009830775.1,China,Asia,2016,animal,256,optrA,Chromosome,Tn6674,WT
GCA_009830815.1,China,Asia,2016,animal,16,optrA,Chromosome,fexA-optrA,
GCA_009830835.1,China,Asia,2016,animal,16,optrA,Chromosome,fexA-optrA,
GCA_009830855.1,China,Asia,2016,animal,59,optrA,Plasmid,fexA-optrA-ermA,
GCA_009914685.3,China,Asia,2016,animal,330,optrA,Chromosome,,
GCA_011193375.1,China,Asia,2016,animal,916,optrA,Chromosome,Tn6674,truncated
GCA_014212115.1,South Korea,Asia,2016,animal,476,optrA,Chromosome,Tn6674,truncated
GCA_014212215.1,South Korea,Asia,2016,animal,-,optrA,Chromosome,Tn6674,WT
GCA_014212225.1,South Korea,Asia,2016,animal,729,optrA,Plasmid,fexA-optrA,
GCA_014854875.1,China,Asia,2016,environment,207,optrA,Chromosome,fexA-optrA-ermA,
GCA_015234285.1,Switzerland,Europe,2019,environment,16,"cfr(D), optrA",Chromosome,Tn6674,truncated
GCA_015292605.1,Spain,Europe,2016,clinical,585,optrA,Plasmid,fexA-optrA,
GCA_015292825.1,USA,North America,2020,,-,optrA,Chromosome,fexA-optrA-ermA,
GCA_015293145.1,Spain,Europe,2016,clinical,-,optrA,Chromosome,,
GCA_015293385.1,China,Asia,2017,environment,32,optrA,Chromosome,fexA-optrA-ermA,
GCA_015293445.1,China,Asia,2017,environment,-,optrA,Chromosome,fexA-optrA-ermA,
GCA_015294025.1,China,Asia,2017,environment,-,optrA,Chromosome,fexA-optrA-ermA,
GCA_015294225.1,Spain,Europe,2016,clinical,474,optrA,Chromosome,,
GCA_015300025.1,USA,North America,2019,animal,16,optrA,Chromosome,,
GCA_015300605.1,USA,North America,2019,animal,506,optrA,Chromosome,Tn6674,
GCA_015315065.1,Colombia,South America,2011,animal,-,optrA,Chromosome,fexA-optrA,
GCA_015315105.1,Colombia,South America,2011,animal,-,optrA,Plasmid,fexA-optrA,
GCA_015315485.1,USA,North America,2020,,-,optrA,Plasmid,,
GCA_015690905.1,USA,North America,2020,animal,19,optrA,Plasmid,,
GCA_015919065.1,USA,North America,2020,animal,-,optrA,Chromosome,Tn6674,
GCA_015920145.1,USA,North America,2020,animal,207,optrA,Plasmid,,
GCA_015958805.1,Denmark,Europe,2017,animal,22,optrA,Plasmid,fexA-optrA,
GCA_016636325.1,USA,North America,2020,animal,631,optrA,Chromosome,,
GCA_016847365.1,Belgium,Europe,2019,clinical,480,optrA,Chromosome,fexA-optrA-ermA,
GCA_016917995.1,Italy,Europe,2018,environment,585,optrA,Chromosome,fexA-optrA-ermA,
GCA_016993575.1,USA,North America,2020,animal,-,optrA,Chromosome,fexA-optrA-ermA,
GCA_017286715.1,USA,North America,2019,animal,-,optrA,Chromosome,,
GCA_018087365.1,Colombia,South America,2016,animal,-,optrA,Chromosome,fexA-optrA,
GCA_018222085.1,USA,North America,2021,animal,-,optrA,Plasmid,,
GCA_018253765.1,China,Asia,2017,environment,-,optrA,Chromosome,Tn6674,WT
GCA_018253815.1,China,Asia,2017,environment,256,optrA,Chromosome,Tn6674,WT
GCA_018253835.1,China,Asia,2017,environment,618,optrA,Chromosome,Tn6674,truncated
GCA_018253895.1,China,Asia,2017,environment,-,optrA,Chromosome,Tn6674,WT
GCA_019164975.1,Pakistan,Asia,2019,others,53,optrA,Chromosome,fexA-optrA-ermA,
GCA_019195415.1,China,Asia,2019,animal,16,optrA,Plasmid,fexA-optrA-ermA,
GCA_019201565.1,Switzerland,Europe,2020,environment,585,optrA,Plasmid,fexA-optrA,
GCA_019201575.1,Switzerland,Europe,2020,environment,476,optrA,Chromosome,Tn6674,truncated
GCA_019201635.1,Switzerland,Europe,2020,environment,506,optrA,Chromosome,Tn6674,truncated
GCA_019222705.1,China,Asia,2019,environment,-,optrA,Plasmid,,
GCA_019340345.1,USA,North America,2020,others,-,optrA,Chromosome,,
GCA_019352735.1,Portugal,Europe,2019,others,674,optrA,Plasmid,fexA-optrA,
GCA_019352775.1,Portugal,Europe,2020,others,-,"optrA, poxtA",Chromosome,,
GCA_019352795.1,Portugal,Europe,2020,others,-,"cfr(D), optrA",Chromosome,fexA-optrA,
GCA_019352805.1,Portugal,Europe,2018,others,40,"cfr(D), optrA",Chromosome,fexA-optrA,
GCA_019352835.1,Portugal,Europe,2019,others,-,"optrA, poxtA",Chromosome,,
GCA_019352855.1,Portugal,Europe,2019,others,-,"optrA, poxtA",Chromosome,,
GCA_019774535.1,China,Asia,2018,animal,8,"optrA, poxtA",Plasmid,,
GCA_019856595.1,China,Asia,2018,animal,692,"optrA, poxtA",Plasmid,,
GCA_019917325.1,China,Asia,2016,animal,86,optrA,Plasmid,fexA-optrA,
GCA_019917335.1,China,Asia,2016,animal,480,optrA,Plasmid,fexA-optrA-ermA,
GCA_019917405.1,China,Asia,2016,animal,16,optrA,Chromosome,,
GCA_019917435.1,China,Asia,2016,animal,476,optrA,Chromosome,,
GCA_020616775.1,South Korea,Asia,2018,animal,585,optrA,Chromosome,Tn6674,truncated
GCA_020616935.1,South Korea,Asia,2019,animal,27,"cfr(D), optrA",Chromosome,,
GCA_020882115.1,China,Asia,2017,animal,-,optrA,Plasmid,fexA-optrA-ermA,
GCA_021121195.1,Belgium,Europe,2019,,631,optrA,Chromosome,Tn6674,WT
GCA_021121215.1,Belgium,Europe,2019,,480,optrA,Chromosome,fexA-optrA,
GCA_021121265.1,Belgium,Europe,2019,,16,optrA,Plasmid,fexA-optrA-ermA,
GCA_021121415.1,Belgium,Europe,2019,,506,optrA,Chromosome,Tn6674,truncated
GCA_021121465.1,Belgium,Europe,2019,,16,optrA,Chromosome,fexA-optrA,
GCA_021121495.1,Belgium,Europe,2019,,-,optrA,Chromosome,,
GCA_021121565.1,Belgium,Europe,2019,,-,optrA,Plasmid,fexA-optrA,
GCA_021121725.1,Belgium,Europe,2019,,21,optrA,Chromosome,fexA-optrA,
GCA_021121905.1,Belgium,Europe,2019,,480,optrA,Chromosome,fexA-optrA,
GCA_021122025.1,Belgium,Europe,2019,,86,optrA,Chromosome,fexA-optrA-ermA,
GCA_021122105.1,Belgium,Europe,2019,,21,optrA,Chromosome,fexA-optrA,
GCA_021122365.1,Belgium,Europe,2019,,21,optrA,Plasmid,,
GCA_021122485.1,Belgium,Europe,2019,,480,optrA,Chromosome,fexA-optrA,
GCA_021122555.1,Belgium,Europe,2019,,86,optrA,Plasmid,fexA-optrA-ermA,
GCA_021122665.1,Belgium,Europe,2019,,330,optrA,Chromosome,fexA-optrA,
GCA_021122745.1,Belgium,Europe,2019,,58,optrA,Plasmid,fexA-optrA-ermA,
