Tn6674,ST
no,others
no,others
no,others
no,16
no,16
no,16
no,16
yes,16
no,16
no,16
no,16
no,16
no,16
no,16
no,16
no,16
no,16
no,16
yes,16
no,16
yes,16
no,16
no,16
no,16
no,16
no,16
no,16
no,16
no,16
no,16
no,16
no,16
yes,16
no,16
no,16
no,16
no,16
no,16
no,16
no,others
no,others
no,others
yes,others
no,others
no,others
yes,others
yes,others
no,21
no,21
no,21
no,21
no,21
no,21
no,21
yes,21
yes,21
yes,21
yes,21
yes,21
yes,21
yes,21
no,21
no,21
no,21
no,21
no,others
yes,others
yes,others
no,others
no,others
no,others
no,others
no,others
yes,others
no,others
yes,others
yes,others
no,others
no,others
no,others
no,others
no,others
no,others
no,others
no,others
yes,others
no,others
no,others
no,others
yes,others
no,others
no,others
no,others
yes,others
no,others
no,others
no,others
yes,others
no,others
yes,others
yes,others
no,others
no,others
no,others
yes,others
no,others
no,others
no,others
no,others
no,others
yes,others
no,others
no,others
no,others
no,others
no,others
no,others
no,others
no,others
no,others
no,others
no,others
no,others
yes,others
no,others
no,others
no,others
no,others
no,others
no,others
no,others
yes,others
yes,others
no,others
yes,others
yes,others
no,others
no,others
yes,others
no,others
no,others
no,others
no,others
no,others
no,others
no,others
no,others
no,others
no,others
no,others
no,others
no,others
yes,others
no,others
no,others
no,others
no,others
no,others
no,others
no,others
no,others
no,others
no,others
yes,others
yes,others
no,others
no,others
no,others
yes,others
no,others
yes,others
yes,476
yes,476
no,476
no,476
no,476
yes,476
yes,476
no,476
yes,476
no,476
yes,476
yes,476
no,476
no,476
yes,476
yes,476
yes,476
yes,476
yes,476
yes,476
yes,476
yes,476
yes,476
no,476
yes,476
yes,476
yes,476
yes,476
no,476
yes,476
yes,476
no,476
no,476
no,others
no,480
no,480
no,480
no,480
no,480
no,480
yes,480
yes,480
no,480
no,480
no,480
yes,480
no,480
no,480
yes,480
no,480
no,480
no,480
no,480
no,480
no,480
no,480
no,480
no,480
no,480
no,480
no,480
no,480
yes,480
no,480
no,others
yes,others
yes,others
yes,others
no,others
no,others
no,others
no,others
no,others
no,others
no,others
no,585
no,585
no,585
yes,585
no,585
no,585
no,585
no,585
yes,585
no,585
no,585
no,585
no,585
no,585
yes,others
no,others
no,others
no,others
no,others
no,others
no,others
yes,others
no,others
yes,others
yes,others
yes,others
yes,others
yes,others
yes,others
no,others
no,others
no,others
no,others
no,others
no,others
no,others
no,others
no,others
no,others
no,others
no,others
no,others
no,others
yes,others
no,others
no,others
no,others
no,others
no,others
no,others
no,others
no,others
yes,others
yes,others
no,others
no,others
yes,others
no,others
no,others
no,others
no,others
no,others
yes,others
no,others
no,others
no,others
yes,others
no,others
no,others
no,others
yes,others
yes,others
yes,others
no,others
no,others
no,others
no,others
no,others
no,others
no,others
yes,others
no,others
no,others
no,others
no,others
yes,others
yes,others
no,others
no,others
no,others
no,others
no,others
no,others
no,others
no,others
no,others
no,others
no,others
yes,others
no,others
no,others
no,others
no,others
no,others
no,others
no,others
no,others
no,others
no,others
no,others
yes,others
no,others
no,others
no,others
no,others
yes,others
no,others
no,others
no,others
no,others
no,others
no,others
no,others
no,others
no,others
no,others
no,others
yes,others
yes,others
no,others
yes,others
yes,others
yes,others
yes,others
no,others
no,others
yes,others
yes,others
yes,others
no,others
no,others
no,others
yes,others
yes,others
yes,others
yes,others
yes,others
yes,others
yes,others
no,others
yes,others
no,others
no,others
yes,others
yes,others
no,others
no,others
yes,others
yes,others
yes,others
yes,others
no,others
no,others
no,others
no,others
no,others
no,others
no,others
no,others
no,others
