reference,position,total_coverage
NZ_MT874924.1,1,79
NZ_MT874924.1,2,79
NZ_MT874924.1,3,79
NZ_MT874924.1,4,79
NZ_MT874924.1,5,81
NZ_MT874924.1,6,84
NZ_MT874924.1,7,85
NZ_MT874924.1,8,85
NZ_MT874924.1,9,85
NZ_MT874924.1,10,85
NZ_MT874924.1,11,85
NZ_MT874924.1,12,86
NZ_MT874924.1,13,86
NZ_MT874924.1,14,86
NZ_MT874924.1,15,86
NZ_MT874924.1,16,86
NZ_MT874924.1,17,89
NZ_MT874924.1,18,90
NZ_MT874924.1,19,90
NZ_MT874924.1,20,90
NZ_MT874924.1,21,91
NZ_MT874924.1,22,91
NZ_MT874924.1,23,91
NZ_MT874924.1,24,91
NZ_MT874924.1,25,91
NZ_MT874924.1,26,92
NZ_MT874924.1,27,92
NZ_MT874924.1,28,92
NZ_MT874924.1,29,92
NZ_MT874924.1,30,92
NZ_MT874924.1,31,92
NZ_MT874924.1,32,92
NZ_MT874924.1,33,92
NZ_MT874924.1,34,92
NZ_MT874924.1,35,92
NZ_MT874924.1,36,92
NZ_MT874924.1,37,92
NZ_MT874924.1,38,92
NZ_MT874924.1,39,112
NZ_MT874924.1,40,122
NZ_MT874924.1,41,125
NZ_MT874924.1,42,125
NZ_MT874924.1,43,125
NZ_MT874924.1,44,125
NZ_MT874924.1,45,125
NZ_MT874924.1,46,125
NZ_MT874924.1,47,125
NZ_MT874924.1,48,125
NZ_MT874924.1,49,125
NZ_MT874924.1,50,125
NZ_MT874924.1,51,125
NZ_MT874924.1,52,125
NZ_MT874924.1,53,126
NZ_MT874924.1,54,127
NZ_MT874924.1,55,127
NZ_MT874924.1,56,127
NZ_MT874924.1,57,127
NZ_MT874924.1,58,127
NZ_MT874924.1,59,127
NZ_MT874924.1,60,127
NZ_MT874924.1,61,127
NZ_MT874924.1,62,127
NZ_MT874924.1,63,127
NZ_MT874924.1,64,127
NZ_MT874924.1,65,127
NZ_MT874924.1,66,127
NZ_MT874924.1,67,127
NZ_MT874924.1,68,127
NZ_MT874924.1,69,127
NZ_MT874924.1,70,127
NZ_MT874924.1,71,127
NZ_MT874924.1,72,127
NZ_MT874924.1,73,127
NZ_MT874924.1,74,127
NZ_MT874924.1,75,127
NZ_MT874924.1,76,127
NZ_MT874924.1,77,127
NZ_MT874924.1,78,127
NZ_MT874924.1,79,127
NZ_MT874924.1,80,127
NZ_MT874924.1,81,127
